Dates,News,sentiment,probabilities
26-05-2017,"Gold futures climb 1.2% for the week, up a third week in a row",negative,[0.9474724  0.02508289 0.02744463]
27-03-2017,"Gold futures rise to Rs 29,034 on firm global cues",negative,[0.864629   0.05429475 0.08107632]
27-04-2017,"June gold up less than 0.1% at $1,264.70/oz.",negative,[0.81562114 0.1455198  0.03885903]
06-03-2017,"Gold steadies on safe-haven buying, weaker dollar",neutral,[0.16102672 0.8013029  0.03767039]
03-08-2017,Gold settles lower for 2nd day ahead of jobs report,neutral,[0.028683  0.9244758 0.0468412]
06-03-2017,"April gold settles at $1,225.50/oz, down $1, or less than 0.1%",neutral,[0.00981406 0.9729264  0.01725957]
20-02-2018,Gold prices inch down as dollar strengthens,neutral,[0.01709559 0.9554146  0.02748986]
16-04-2018,london : sales jump 253% at london gold store as global geopolitical risk rises,negative,[0.7028746  0.2637762  0.03334921]
23-01-2017,"Gold futures jump to Rs 28,825 on firm global cues",negative,[0.77593    0.11986736 0.1042027 ]
12-05-2017,"June gold gains $3.50, or 0.3%, to settle at $1,227.70/oz",negative,[0.80526805 0.15135452 0.04337732]
05-09-2017,"gold, silver rise on global cues",negative,[0.8137152  0.10121934 0.08506554]
22-03-2017,Gold futures notch fifth straight session gain,negative,[0.44005194 0.36367702 0.19627114]
15-05-2017,"Gold rises to Rs 28,630 on firm global cues, spot demand",negative,[0.9291844  0.03181611 0.03899943]
21-02-2017,"Gold reverses course to finish flat, shaking off stronger dollar",neutral,[0.25922787 0.7008231  0.039949  ]
09-03-2017,"April gold down $2.10, or 0.2%, at $1,207.50/oz.",neutral,[0.01414373 0.963104   0.02275229]
09-02-2018,iran gold demand at 4-year high,negative,[0.83061045 0.05891564 0.11047395]
28-03-2018,"as chopard commits to using 100 per cent 'ethical' gold, what does that actually mean?",positive,[0.05262993 0.02052262 0.92684746]
07-09-2017,"December gold up 0.7% at $1,348.90/oz.",negative,[0.8708541  0.09623539 0.0329106 ]
19-06-2018,Gold prices rise as United States-China trade tensions intensify,neutral,[0.11838922 0.82869893 0.05291181]
28-07-2017,"Aug. gold climbs by $8.70, or 0.7%, to $1,268.70/oz",negative,[0.9229746  0.04982837 0.02719709]
02-03-2017,Gold prices finish at lowest level in over 2 weeks,neutral,[0.00944828 0.9487712  0.04178051]
30-08-2017,"gold, silver trade lower on easing geopolitical tensions",neutral,[0.09444009 0.8742072  0.03135275]
28-11-2018,"gold rate today: gold, silver lacklustre on low demand",neutral,[0.27129713 0.5022757  0.22642718]
18-04-2018,"Akshaya Tritiya 2018 | Gold likely to test USD 1,500-1,550/oz in FY19: Himanshu Gupta",positive,[0.39796826 0.038428   0.5636037 ]
26-05-2017,"June gold settles at $1,268.10/oz, up $11.70, or 0.9%, for the session",negative,[0.94409066 0.03150835 0.02440103]
09-08-2018,gold inches higher ahead of us-japan trade talks,negative,[0.8030817  0.09923889 0.09767942]
09-01-2017,gold settled down by 0.24% on monday,neutral,[0.01103795 0.97169983 0.01726216]
16-08-2017,"Dec. gold at $1,283.90/oz after $1,282.90 Comex settlement",neutral,[0.1503884  0.54923314 0.3003784 ]
10-10-2017,Gold prices mark highest settlement in 2 weeks,negative,[0.6049565  0.21047005 0.18457341]
28-06-2017,"August gold climbs $2.20, or 0.2%, to settle at $1,249.10/oz",negative,[0.8206646 0.1287917 0.0505436]
05-12-2017,gold demand picks up in cities as price falls,negative,[0.8080033  0.13450494 0.05749172]
30-05-2017,"August gold settles at $1,265.70/oz, down $5.70, or 0.5%",neutral,[0.00997021 0.9733891  0.01664064]
28-12-2017,"gold rate today: gold, silver edge higher in morning trade",negative,[0.93647814 0.03229034 0.03123157]
20-09-2017,"Gold ends higher, then falls as Fed hints as one more rate hike this year",neutral,[0.16365306 0.79025203 0.04609499]
21-03-2018,Digital gold sellers hope trickle will become a rush,positive,[0.31838647 0.03128658 0.65032697]
09-10-2018,charts : gold price range vulnerable to fresh series of lower highs,neutral,[0.2850913  0.6776093  0.03729938]
01-12-2017,"Gold prices finish higher, but still logs a second-straight weekly loss",negative,[0.7199506  0.25161627 0.02843319]
25-04-2018,"Wedding demand lifts gold prices to Rs 32,450 ",negative,[0.89757526 0.03115977 0.07126497]
11-07-2018,gold prices fall as dollar gains vs yuan in escalating trade war,neutral,[0.02697391 0.94871414 0.02431201]
09-11-2017,"saudi, uae vat tax may squeeze gold jewellery demand even more",neutral,[0.01061728 0.9669903  0.02239235]
18-09-2018,Gold falls as investors turn to dollar for safety amid trade worries,neutral,[0.13950233 0.7334151  0.12708251]
16-06-2017,gold to trade in 28563-29053: achiievers equities,positive,[0.08530051 0.02281895 0.8918805 ]
04-12-2018,"gold rate today: gold, silver bullish on rising demand, firm overseas trend",negative,[0.93502283 0.03120606 0.03377112]
18-04-2017,"June gold holds 0.3% at $1,287.70/oz.",neutral,[0.10258801 0.8154564  0.08195557]
23-01-2018,10 charts that show why gold is undervalued right now,positive,[0.20079947 0.03347208 0.76572853]
26-01-2018,"gold prices drop for the session, but gain for the week",neutral,[0.06444944 0.9132518  0.02229871]
18-09-2017,"gold slips as equities, dollar surge ahead of fed meet",neutral,[0.19213723 0.5627407  0.24512215]
11-01-2017,"Feb. gold climbs $1.70, or 0.1%, to $1,187.20/oz",negative,[0.8960102  0.07525024 0.0287396 ]
04-04-2017,Gold settles higher for third day as investors await Trump-Xi meeting,negative,[0.69430065 0.15217151 0.1535278 ]
15-08-2018,gold futures remain lower after economic data,neutral,[0.01841466 0.94360673 0.03797869]
21-06-2018,"Profit-booking, weak global cues pull gold futures down to Rs 31,015 ",neutral,[0.00898625 0.9686225  0.02239123]
13-10-2017,Gold prices pare some gains as data show rise in U.S. consumer sentiment,negative,[0.8852372  0.0668657  0.04789711]
12-02-2018,dubai : losing the lustre: gold jewellery demand seen at 20-yr low in uae,neutral,[0.01313955 0.96419394 0.02266647]
08-03-2018,standard chartered : trade-war fears put floor under gold,neutral,[0.03431937 0.86130655 0.10437411]
05-05-2017,Gold pares gains after jobs report,negative,[0.633256   0.22547878 0.14126517]
07-09-2017,Gold climbs to 1-year high as U.S. dollar sees fresh weakness,negative,[0.8997856  0.05303558 0.04717886]
13-12-2017,gold rate today: gold futures up rs 40 as participants create position,negative,[0.9324631  0.02296534 0.04457152]
21-06-2018,"Gold prices drop to six-month low on strong dollar, rate outlook",neutral,[0.01365802 0.9483079  0.03803418]
26-12-2018,Gold hits 6-month peak on waning risk appetite,negative,[0.7655295  0.15126547 0.08320501]
13-12-2018,"Gold edges lower, palladium hits record high",neutral,[0.27539408 0.5802602  0.14434566]
13-12-2017,gold holds near 5-month low ahead of fed meeting outcome,neutral,[0.05435643 0.7830922  0.1625514 ]
24-03-2017,Gold futures end the week roughly 1.5% higher,neutral,[0.13353953 0.80698615 0.05947432]
11-06-2018,"gold fails to exceed $ 1,300 an ounce as the us dollar rallies",neutral,[0.3273071  0.53524435 0.13744864]
09-02-2017,Gold prices settle lower to end 5-session climb,neutral,[0.01864648 0.9380702  0.0432834 ]
20-11-2018,india : gold traders cheer as rupee gets stronger,negative,[0.9332234  0.02620812 0.04056845]
05-04-2018,etfs : n. american gold etf inflows up in march; europe saw outflows for second month -wgc,negative,[0.9165234  0.0539852  0.02949134]
18-10-2017,"Dec. gold at $1,283.80/oz in electronic trade, after $1,283 Comex settlement",neutral,[0.36479202 0.46739244 0.16781555]
12-01-2018,"feb. gold climbs $9.60, or 0.7%, to $1,332.10/oz after $1,333.80 high",negative,[0.90756774 0.06551509 0.02691719]
03-02-2017,Gold logs 2.5% weekly rise,negative,[0.7737021  0.17977574 0.04652219]
26-04-2018,"sharps pixley:  gold signalling a $1,000 price rise - gundlach",positive,[0.4513106  0.05017183 0.49851757]
03-07-2017,Gold prices settle at lowest in nearly two months,neutral,[0.01377766 0.9436117  0.04261061]
16-06-2017,"Gold falls to Rs 29,115; silver down at Rs 39,050 per kg",neutral,[0.01026772 0.9651675  0.02456477]
19-09-2017,gold edges up as dollar eases; markets brace for fed meeting,negative,[0.8091902  0.12849416 0.06231566]
24-09-2018,india : jewellery shares fall on fear of gold import curbs; titan down 4.73%,neutral,[0.00771569 0.97056895 0.02171529]
19-06-2017,Gold slips to fresh multi-week lows after Dudley's comments,neutral,[0.03962444 0.9125558  0.04781977]
20-10-2017,"Gold prices settle at 2-week low, down about 1.9% for the week",neutral,[0.00807248 0.9745653  0.01736225]
25-10-2017,Gold turns higher by the settlement as U.S. dollar weakens,negative,[0.5929518  0.3790849  0.02796336]
30-07-2018,"cftc : cot gold, silver and us dollar index report - july 27, 2018",positive,[0.0291523  0.05416222 0.91668546]
06-02-2018,gold ends lower despite resurgent stock-market volatility,neutral,[0.16135658 0.79414964 0.04449375]
17-08-2017,"Dec. gold settles at $1,292.40/oz, up $9.50, or 0.7%",negative,[0.9415569  0.03327291 0.02517023]
14-02-2017,"Gold tumbles by Rs 300 on weak global cues, fall in demand",neutral,[0.01354462 0.96988535 0.01657015]
04-01-2019,etfs : gld sees gold holdings drop nearly 50 tonnes in 2018,neutral,[0.00696744 0.97532946 0.01770301]
29-04-2017,gold shines as buyers flock to stores on akshaya tritiya,negative,[0.9149967  0.01805272 0.06695063]
30-11-2017,options converted into gold futures in first settlement,positive,[0.04353043 0.02015745 0.9363122 ]
26-09-2017,gold goes up rs 81 on positive global cues,negative,[0.90946    0.03424609 0.05629399]
04-09-2017,gold hits near 1-year peak as tensions rise over n.korea,negative,[0.8629837  0.08885752 0.04815879]
18-12-2017,gold gains for fourth session as tax bill fuels inflation expectations,negative,[0.54546154 0.3877966  0.06674182]
26-10-2017,"December gold off 0.3% at $1,275.70/oz.",neutral,[0.03215375 0.94648963 0.02135662]
28-11-2018,charts : daily inverted head and shoulder pattern takes gold to form a bottom at 1212??,positive,[0.07989498 0.11361859 0.8064864 ]
01-03-2018,sharps pixley: gold demand growing as supply starts to fall,negative,[0.7624474  0.16333403 0.07421849]
15-03-2017,"April gold falls $1.90, or 0.2%, to settle at $1,200.70/oz",neutral,[0.05243156 0.91294205 0.03462641]
15-03-2017,"gold loses rs 250 on us rate hike chances, now at 2-month low",neutral,[0.03864142 0.9346726  0.02668598]
29-11-2018,ig / sharps pixley : gold price holds value against a weaker dollar,negative,[0.8538296  0.0540446  0.09212579]
23-06-2017,"Gold tallies three-session rise, but ends week flat",neutral,[0.39571926 0.53592056 0.06836016]
24-09-2018,"Commodity outlook: Gold has resistance at Rs 30,755-30,775 levels",neutral,[0.10873663 0.694525   0.19673835]
18-05-2018,world gold council : gold 2048 - the next 30 years for gold,positive,[0.11892179 0.01067629 0.8704019 ]
19-10-2018,Gold edges higher as Asian shares slip,negative,[0.7149375  0.16517204 0.11989049]
29-11-2018,"Gold falls to Rs 31,540 on weak demand; silver recovers by Rs 60 per kg",neutral,[0.01320352 0.9694166  0.01737994]
23-07-2018,td securities : trump's decision to weigh-in on fed policy is bullish for gold,negative,[0.86911786 0.01896803 0.11191411]
30-11-2017,Gold prices mark lowest settlement since Nov. 20,neutral,[0.00760766 0.9603462  0.03204605]
01-11-2017,Gold prices finish higher ahead of Fed policy statement,negative,[0.92709506 0.03360926 0.03929566]
19-03-2018,charts : gold's narrow trade; beware a cascade,positive,[0.1422439  0.07265922 0.7850969 ]
08-08-2017,"Gold prices down at Rs 29,350; silver edges up to Rs 38,370",neutral,[0.06700468 0.9098208  0.02317443]
04-01-2017,Gold futures settle at a more than 3-week high ahead of Fed minutes,neutral,[0.37052256 0.37609848 0.253379  ]
15-05-2017,"June gold settles at $1,230/oz, up $2.30, or 0.2%",negative,[0.93811053 0.03742084 0.02446864]
02-02-2018,can rising yields stop gold?,positive,[0.08987136 0.16158089 0.7485478 ]
29-01-2018,"feb. gold drops $11.80, or 0.9%, to settle at $1,340.30/oz",neutral,[0.01581121 0.9602815  0.02390729]
20-11-2018,"dec. gold settles at $1,221.20/oz, down $4.10, or 0.3%",neutral,[0.00972569 0.9730132  0.01726098]
28-03-2018,cpm group : global gold investment seen rising for 5th year in 2018,negative,[0.9507809  0.01724258 0.03197651]
07-03-2017,"Gold futures down at Rs 28,983 per 10 gm",neutral,[0.00924809 0.95543236 0.03531959]
07-09-2017,Gold prices mark highest finish since Sept. 6,negative,[0.63687754 0.22810093 0.1350216 ]
14-11-2018,Gold futures weaken by Rs 86/ 10 grams,neutral,[0.01473633 0.96097475 0.02428899]
30-11-2017,"february gold down $2.20, or 0.2%, at $1,279.90 an ounce",neutral,[0.01332515 0.9653611  0.02131374]
09-11-2017,"Gold ends at more than 3-week high as U.S. equities, dollar decline",neutral,[0.32703212 0.5774775  0.09549034]
08-09-2017,"gold hits 1-yr peak as dollar sags, n.korea concerns support",neutral,[0.28113425 0.5866154  0.13225034]
07-11-2017,Gold retreats as dollar index taps highest levels since mid-July,neutral,[0.02060946 0.9475411  0.03184946]
25-01-2017,"Antofagasta copper, gold production rises",positive,[0.1258859  0.01270854 0.8614056 ]
17-08-2017,Gold retains solid gains after economic reports,negative,[0.87698007 0.07082012 0.05219981]
18-01-2017,Gold futures post modest loss as dollar strengthens,neutral,[0.02524867 0.96325785 0.01149353]
21-11-2018,"dec. gold climbs $6.80, or 0.6%, to settle at $1,228/oz",negative,[0.844739   0.11157147 0.04368956]
14-02-2018,"gold jumps $27.60, or 2.1%, to settle at $1,358 an ounce",negative,[0.8764291  0.06764872 0.05592212]
22-09-2017,"December gold ends 0.2% higher at $1,294.80 an ounce",negative,[0.9179279  0.0537529  0.02831917]
24-02-2017,Gold climbs for 4th straight week as dollar softens,negative,[0.71604407 0.1988021  0.08515386]
30-08-2017,"December gold down 0.7% at $1,311/oz.",neutral,[0.01073814 0.96899945 0.02026233]
26-10-2018,"india : gold demand shines! yellow metal hits 6-year high on global equity selloff, festive buzz",negative,[0.9050586  0.02179403 0.07314736]
08-03-2018,Gold Prices Slip Lower Despite U.S. Data,neutral,[0.04982721 0.9101926  0.03998028]
15-06-2017,Gold prices mark lowest finish since May 24,neutral,[0.00873505 0.95159525 0.03966968]
06-07-2018,india's june gold imports drop by a quarter as rupee hits record low,neutral,[0.01002056 0.97104263 0.01893682]
27-04-2017,"Buy, sell gold instantly on Paytm",positive,[0.03022197 0.02143703 0.94834095]
15-08-2018,"december gold settles down 1.3% at $1,885./oz.",neutral,[0.008294   0.9732592  0.01844675]
18-08-2017,"Dec. gold down $2, or 0.2%, to $1,290.40/oz after earlier highs above $1,300",neutral,[0.01963894 0.9685905  0.01177056]
05-11-2018,Gold prices hold steady ahead of US elections,negative,[0.81623685 0.07278995 0.11097316]
17-10-2018,"an ounce of gold has always cost the same as a suit, here's why",positive,[0.04722741 0.02825611 0.9245165 ]
12-07-2017,Gold stretches streak of gains to a third session,negative,[0.7361509  0.06502075 0.19882837]
17-10-2017,dhanteras buying fails to lift gold,neutral,[0.1275559  0.64850724 0.22393687]
22-01-2018,"gold prices pare losses, hold steady with u.s. politics in focus",negative,[0.60695004 0.22467345 0.16837652]
18-10-2017,dhanteras gold sales fall 30%; heavy discounts fail to lure buyers,neutral,[0.00994237 0.9745461  0.01551157]
27-11-2018,"innovaminex, the cryptocurrency startup for precious metals traceability, to release a collection of cryptocurrency coins in gold and silver",positive,[0.06742394 0.01149563 0.9210804 ]
26-05-2017,Gold futures prices trade near the session's high,negative,[0.58386844 0.18549533 0.23063627]
03-05-2017,Gold lower after ADP payrolls-report,neutral,[0.03674054 0.9331441  0.03011536]
05-07-2017,"Gold settles lower, then seesaws after Fed meeting minutes",neutral,[0.03822699 0.87960196 0.08217112]
06-08-2018,"iran is planning new fx rules - says will allow unlimited hard currency, gold into country",positive,[0.16081272 0.01083361 0.82835364]
24-09-2018,"cftc : gold speculators added to their bets, now bearish for 6 straight weeks",negative,[0.87400806 0.09617711 0.02981476]
22-08-2017,"gold, silver slip in morning trade",neutral,[0.02661277 0.93024045 0.04314685]
11-08-2017,"december gold up 0.4% at $1,296.90/oz.",negative,[0.8744979  0.09248707 0.033015  ]
18-09-2018,drinking gold was a grisly anti-aging trend of 16th-century france,positive,[0.02480653 0.15972571 0.8154678 ]
25-01-2017,"Gold plunges to Rs 29,550; silver falls to Rs 41,500",neutral,[0.024179   0.9170333  0.05878771]
26-03-2018,debt cycles and gold,positive,[0.02017386 0.1065587  0.8732675 ]
20-11-2017,gold prices still lower but within range of a 1-month peak,neutral,[0.16239467 0.8071607  0.03044458]
31-07-2017,Gold futures post 2.5% monthly rise in July,negative,[0.9312696  0.03899246 0.02973793]
02-05-2017,"June gold edges up by $1.50, or 0.1%, to settle at $1,257/oz",negative,[0.9417574  0.03314905 0.0250935 ]
02-08-2017,gold dips in asia as dollar fortunes eyed ahead of us jobs data,neutral,[0.08841566 0.85475636 0.05682804]
19-01-2017,Silver falls on reduced offtake; gold holds steady,neutral,[0.13164225 0.8332134  0.03514438]
25-01-2018,gold prices climb closer to session highs ahead of comex settlement,negative,[0.824004   0.10526608 0.07072993]
28-09-2017,WGC to form panel for setting up spot gold exchange in India,positive,[0.06763356 0.01243489 0.91993153]
13-08-2018,china : gold shines as wealth boosts jewelry,negative,[0.8583244  0.01425333 0.12742224]
22-10-2018,india's gold imports see surprise spike in july-august,negative,[0.93219155 0.03920212 0.02860638]
21-11-2018,"Gold dips as investors opt for safe-haven dollar, bonds",neutral,[0.12304363 0.815828   0.06112837]
25-10-2018,murenbeeld : now is not the time to sell gold,positive,[0.03581536 0.15569991 0.80848473]
24-01-2018,"Gold rises to Rs 31,100; silver holds steady at Rs 39,900",negative,[0.9015486  0.03352579 0.06492558]
05-07-2018,gold moves below settlement price in electronic trade after fomc minutes,neutral,[0.09970978 0.68754494 0.21274531]
10-07-2018,asahi refining licenses emergent technology's responsible gold supply chain application,positive,[0.4595755  0.00724406 0.5331804 ]
22-08-2018,"gold holds above $1,200 as dollar adds to weekly decline",negative,[0.91770977 0.04212215 0.04016813]
07-04-2017,June gold traded at $1.265.30 ahead of data,positive,[0.06806795 0.05586058 0.8760715 ]
27-11-2018,fitch : global gold output to rise during the next four years,negative,[0.9460585  0.01462192 0.03931957]
17-09-2018,Gold nudges up amid looming US tariffs on China,negative,[0.7516803  0.15170947 0.09661026]
25-05-2018,"Gold slips, but safe-haven demand keeps prices above $1,300 ",negative,[0.5359645  0.42113882 0.04289675]
28-04-2017,gold ends april with modest monthly gain,negative,[0.614756  0.2311964 0.1540476]
13-06-2018,"Gold locked below $1,300 as market braces for US Fed decision",neutral,[0.2299629 0.6347156 0.1353215]
25-04-2017,"June gold settles at $1,267.20/oz, down $10.30, or 0.8%",neutral,[0.00941244 0.9737302  0.01685743]
30-08-2017,Gold prices turn lower as geopolitical tensions ease,neutral,[0.04223008 0.9057314  0.05203854]
13-01-2017,how much income tax you should pay on investments in gold?,positive,[0.03342024 0.04817586 0.9184039 ]
11-04-2018,"Gold surges to Rs 31,850; silver jumps by Rs 360/kg",negative,[0.8966915  0.04145196 0.06185658]
20-08-2018,Gold inches higher as US-China trade optimism pressures dollar,negative,[0.6362832  0.30358344 0.06013325]
17-02-2017,"Gold prices fall the day, but post a third straight weekly gain",neutral,[0.03002888 0.9470501  0.0229211 ]
12-01-2018,"feb. gold climbs $12.40, or 0.9%, to settle at $1,334.90/oz",negative,[0.81621665 0.1326588  0.05112458]
14-08-2018,7im drops gold and adopts general commodities strategy,positive,[0.03518385 0.02558835 0.9392278 ]
27-03-2017,Gold hits 1-month peak as Trump's healthcare failure hurts dollar,neutral,[0.43501016 0.49520978 0.06978008]
21-09-2017,Gold adds to steep early loss after economic reports,neutral,[0.44005215 0.5143578  0.04559005]
03-04-2018,"Gold inches down, resurgent trade worries offer support",neutral,[0.4062422  0.53009677 0.06366105]
10-04-2018,metals focus :  gold demand tipped to firm just 1 per cent in 2018,negative,[0.7007521  0.23929091 0.059957  ]
16-03-2018,"gold at two-week low, on track for biggest weekly loss in about a month",neutral,[0.05985061 0.88526046 0.05488897]
10-08-2018,"Gold in India shifts to discount, while China buying picks up",positive,[0.3172447  0.09498556 0.5877698 ]
12-10-2017,"Dec. gold gains $7.60, or 0.6%, to settle at $1,296.50/oz",negative,[0.828506   0.13057476 0.04091925]
11-08-2017,Gold posts strongest weekly gain since mid-April,negative,[0.9291744  0.03505908 0.03576656]
09-05-2017,"Gold settles at 2-month low on firmer dollar, rate-hike expectations",neutral,[0.06244352 0.88042754 0.05712893]
22-06-2018,"august gold gains 20 cents to settle at $1,270.70/oz",negative,[0.8783356  0.07787777 0.04378674]
28-02-2017,"gold prices end lower, but tally a second straight monthly gain",neutral,[0.10079491 0.87673753 0.0224675 ]
01-05-2018,"june gold falls $12.40, or 0.9%, to settle at $1,306.80/oz",neutral,[0.05518433 0.9060781  0.03873751]
17-01-2017,"Gold gains $16.50, or 1.4%, at $1,212.80/oz.",negative,[0.82258177 0.1335536  0.04386473]
09-08-2017,"Gold surges to Rs 29,550; silver reclaims Rs 39,000-mark",negative,[0.836549   0.03137775 0.13207324]
20-11-2017,charts : gold: the battle between the bulls and the bears continues,positive,[0.06871377 0.02299516 0.90829104]
31-10-2018,goldcorp ceo sees 'quite a bit of runway' for gold prices,negative,[0.64773303 0.01371924 0.33854768]
19-09-2017,"Gold prices little changed after housing, import data",positive,[0.08360405 0.03629857 0.8800974 ]
05-02-2017,Gold / Silver / Copper futures - weekly outlook: February 6 - 10,positive,[0.02374515 0.08389013 0.89236474]
29-01-2018,"Gold dips as US dollar, equities strengthen",neutral,[0.07777544 0.86849576 0.05372877]
22-08-2017,"Gold falls to Rs 29,800; silver slips below Rs 40,000-level",neutral,[0.01520282 0.94350314 0.04129409]
04-05-2018,you must own gold or you will lose a third of your retirement savings,neutral,[0.02322236 0.5185197  0.45825788]
04-05-2017,Randgold profit up 41% as gold production rises,negative,[0.9534026  0.02108446 0.02551294]
07-09-2018,"Gold slips to Rs 31,450; silver down by Rs 300 per kg",neutral,[0.01038151 0.9700575  0.01956106]
25-04-2017,gold jewellery sales expected to double this akshaya tritiya,negative,[0.9202177  0.01362957 0.06615268]
30-08-2018,"charts : gold analysis: support at 1199/1183, resistance at 1214/1217",positive,[0.14582363 0.04513095 0.8090454 ]
01-11-2017,Barrick Gold stock price target cut to $18 from $21 at RBC Capital,neutral,[0.13312471 0.8085636  0.05831167]
17-10-2017,gold prices fall as dollar extends gains,neutral,[0.0275691  0.9324722  0.03995863]
14-06-2017,sales of indian gold jewellery drop in the gulf,neutral,[0.01483151 0.9615428  0.02362564]
23-02-2018,gold closes down to post biggest weekly drop this year,neutral,[0.04001982 0.9310853  0.02889497]
31-08-2017,"December gold pares loss after data, down 0.1% at $1,312.90/oz.",neutral,[0.01063573 0.9740208  0.01534341]
31-08-2018,"Gold rises, but set for longest monthly losing streak in 5-1/2 years",neutral,[0.19358513 0.745592   0.06082287]
02-11-2017,"Dec. gold down $1.10, or 0.1%, to $1,276.20/oz",neutral,[0.0144749  0.9660271  0.01949814]
26-08-2017,gold & silver put in restricted list to curb rising imports from korea,positive,[0.29647285 0.06100205 0.64252514]
14-07-2017,Gold prices score a weekly gain of roughly 1.5%,negative,[0.92342603 0.02507182 0.05150213]
14-06-2018,gold holds gain after ecb's policy decision,negative,[0.666213   0.18535514 0.14843185]
21-08-2017,Gold marks highest finish in nearly 11 weeks as U.S.-North Korea tensions return,negative,[0.6679968  0.27260393 0.05939925]
29-09-2017,"Gold prices down 2.7% for the month, but gain about 3.6% for the quarter",neutral,[0.00955619 0.9692017  0.02124216]
16-07-2018,India looks to lift ban on gold imports from S. Korea,neutral,[0.3531455  0.4164856  0.23036891]
30-11-2018,india : government puts gold dore imports under restricted category,positive,[0.03783394 0.07768465 0.8844814 ]
26-03-2018,options : gold's rally to five-week highs has revived interest in call options,negative,[0.9321204  0.0197388  0.04814085]
07-09-2017,Gold holds slight gain as ECB leaves monetary policy unchanged,negative,[0.6656041  0.23689108 0.09750479]
20-06-2018,fxtm : strong dollar weigh gold amid rising trade tensions,negative,[0.8986021  0.07329022 0.02810764]
16-06-2017,"August gold settles at $1,256.50/oz, up $1.90, or 0.2%",negative,[0.9383259  0.03781997 0.02385414]
03-10-2017,gold falls to 7-week low as dollar firms,neutral,[0.01948279 0.936021   0.04449618]
31-01-2017,Gold futures finish at highest level in more than a week,negative,[0.87665963 0.04168072 0.08165964]
24-11-2017,gold prices edge higher on weaker dollar,negative,[0.73766214 0.21145296 0.05088498]
12-09-2017,Gold prices ease as investors look to riskier assets,negative,[0.57743496 0.32805645 0.09450858]
07-05-2018,Gold jewellery demand may fall by 2-4% this year: Report,neutral,[0.00722813 0.962627   0.03014491]
15-11-2017,Gold prices finish lower after 2-session climb,neutral,[0.01026462 0.9621744  0.02756091]
05-06-2018,Expect Gold prices to trade sideways: Angel Commodities,positive,[0.08363557 0.04102691 0.87533754]
08-10-2018,"Profit-booking, weak global cues pull gold futures down to Rs 31,427",neutral,[0.00879259 0.97023475 0.02097273]
16-02-2018,Gold Prices Trim Gains as Dollar Rebounds,neutral,[0.44887653 0.45660752 0.09451589]
18-05-2018,gold futures fall roughly 2.2% for the week,neutral,[0.00953511 0.97151595 0.01894903]
14-12-2017,buy the fact: gold jumps after fed rate hike,negative,[0.776945   0.06325467 0.15980044]
15-11-2017,gold prices at 1-month highs on weaker dollar,neutral,[0.2624477  0.70272833 0.034824  ]
14-06-2018,Gold prices are expected to trade lower today: Angel Commodities,neutral,[0.01409742 0.8941607  0.09174188]
05-10-2018,"Gold futures down Rs 112 on profit booking, global cues",neutral,[0.0120588  0.9565593  0.03138199]
30-01-2017,Gold futures end higher after four consecutive sessions of losses,negative,[0.8376918  0.0929075  0.06940061]
21-05-2018,ing : what are key factors to drive gold in short-term?,positive,[0.05156752 0.02098586 0.9274466 ]
24-11-2017,Gold finishes slightly lower in abbreviated Black Friday session,neutral,[0.0200807  0.95549077 0.02442852]
16-07-2018,china takes control of gold from the comex,positive,[0.03594671 0.04785684 0.91619647]
05-12-2018,palladium tops gold after rally driven by surge in global demand,negative,[0.9189285  0.0440715  0.03699995]
08-09-2017,"Gold hits 10-month high of Rs 31,350",negative,[0.84120405 0.03053424 0.12826167]
25-10-2018,Gold rises in futures trade; up 0.54% on global cues,negative,[0.9423695 0.0299341 0.0276963]
04-09-2018,Commodity outlook: Gold may feel the chill as dollar strengthens,negative,[0.51603097 0.4178816  0.06608749]
07-03-2017,"April gold down $9.40, or 0.8%, to settle at $1,216.10/oz",neutral,[0.01576878 0.9620207  0.02221058]
09-10-2017,"gold, silver up in morning trade",negative,[0.7927563  0.04154974 0.16569386]
02-08-2018,Gold demand falls 8% in June quarter on weak jewellery sales,neutral,[0.00935381 0.9711549  0.0194913 ]
25-09-2018,Gold holds steady ahead of Fed meet,negative,[0.66944146 0.10221528 0.22834328]
04-08-2017,Gold prices end day and week lower as dollar pops after Friday jobs report,neutral,[0.01097824 0.9493348  0.03968702]
03-01-2019,"gold hits six-month high on growth fears, stock volatility",neutral,[0.42784464 0.4418697  0.1302856 ]
30-10-2017,Gold futures remain steady following economic data,negative,[0.51518226 0.22377974 0.26103792]
16-08-2017,"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",negative,[0.93882173 0.03682261 0.02435566]
24-01-2017,Gold retreats after notching nearly 10-week high,neutral,[0.03253272 0.9246075  0.04285973]
10-10-2017,Gold prices mark highest finish in 2 weeks,negative,[0.7235196  0.11779427 0.15868619]
17-03-2017,Gold futures end the week 2.4% higher,negative,[0.6630301  0.26139715 0.07557277]
09-08-2017,gold registers best one-day gain in about 3 months,negative,[0.8616863  0.03435404 0.10395972]
09-05-2017,gold gains in asia as trump's firing of comey sparks policy concerns,negative,[0.52821684 0.35533082 0.11645233]
08-03-2018,gold slips into the red for second day,negative,[0.3755244  0.31700736 0.30746824]
03-01-2019,"india : despite govt's diktat, gold round-tipping is still flourishing",negative,[0.60216695 0.05926529 0.33856773]
